A/C,N,O,R,RU,U,UO,RO
housedust HR,0.084249084,0.201465201,0.245421245,0.102564103,0.194139194,0.06959707,0.102564103
housedust LR,0.048076923,0.221153846,0.278846154,0.038461538,0.25,0.105769231,0.057692308
housedust MR,0.115384615,0.164335664,0.223776224,0.062937063,0.276223776,0.06993007,0.087412587
housedust NR,0.060606061,0.242424242,0.106060606,0.090909091,0.393939394,0.03030303,0.075757576
cottondust LR,0.108695652,0.152173913,0.202898551,0.079710145,0.31884058,0.079710145,0.057971014
cottondust HR,0.081300813,0.162601626,0.195121951,0.097560976,0.292682927,0.113821138,0.056910569
cottondust MR,0.090909091,0.204545455,0.242424242,0.087121212,0.200757576,0.060606061,0.113636364
cottondust KR,0,0,0.5,0,0.5,0,0
cottondust NR,0.079207921,0.227722772,0.247524752,0.04950495,0.247524752,0.054455446,0.094059406
aspergilus LR,0.067567568,0.222972973,0.222972973,0.040540541,0.297297297,0.067567568,0.081081081
aspergilus HR,0.066666667,0.24,0.233333333,0.073333333,0.2,0.066666667,0.12
aspergilus MR,0.117154812,0.171548117,0.221757322,0.112970711,0.230125523,0.075313808,0.071129707
aspergilus KR,0.142857143,0,0.428571429,0.142857143,0.142857143,0.142857143,0
aspergilus NR,0.086486486,0.167567568,0.232432432,0.059459459,0.291891892,0.07027027,0.091891892
pollen LR,0.09375,0.09375,0.270833333,0.0625,0.333333333,0.072916667,0.072916667
pollen HR,0.072874494,0.210526316,0.218623482,0.08097166,0.218623482,0.089068826,0.109311741
pollen MR,0.103125,0.171875,0.221875,0.084375,0.275,0.0625,0.08125
pollen KR,0,0.333333333,0.333333333,0.333333333,0,0,0
pollen NR,0.079365079,0.380952381,0.238095238,0.031746032,0.158730159,0.047619048,0.063492063
parthenium LR,0.125,0.208333333,0.270833333,0.104166667,0.229166667,0.0625,0
parthenium HR,0.078947368,0.205263158,0.215789474,0.089473684,0.231578947,0.076315789,0.102631579
parthenium MR,0.101123596,0.179775281,0.239700375,0.052434457,0.277153558,0.06741573,0.082397004
parthenium KR,0,1,0,0,0,0,0
parthenium NR,0.060606061,0.121212121,0.242424242,0.090909091,0.333333333,0.060606061,0.090909091
cockroach LR,0.054054054,0.22972973,0.189189189,0.121621622,0.256756757,0.054054054,0.094594595
cockroach HR,0.118694362,0.154302671,0.207715134,0.086053412,0.261127596,0.068249258,0.103857567
cockroach MR,0.075396825,0.222222222,0.273809524,0.063492063,0.234126984,0.075396825,0.055555556
cockroach KR,0,0.25,0.5,0,0.25,0,0
cockroach NR,0.032258065,0.241935484,0.193548387,0.032258065,0.274193548,0.096774194,0.129032258
catdander LR,0,0.272727273,0.363636364,0.090909091,0.181818182,0,0.090909091
catdander HR,0,0,0,0,0.5,0,0.5
catdander KR,0.086956522,0.1994003,0.230884558,0.076461769,0.254872564,0.070464768,0.08095952
catdander MR,0,0,0.333333333,0.333333333,0.333333333,0,0
catdander NR,0.159090909,0.113636364,0.181818182,0.068181818,0.204545455,0.113636364,0.159090909
dosfur LR,0.129032258,0.064516129,0.161290323,0.193548387,0.129032258,0.161290323,0.161290323
dosfur HR,0.222222222,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111,0
dosfur KR,0.086887836,0.195892575,0.232227488,0.071090047,0.263823065,0.069510269,0.08056872
dosfur MR,0.037037037,0.333333333,0.111111111,0.037037037,0.222222222,0.037037037,0.222222222
dosfur NR,0.103448276,0.172413793,0.379310345,0.068965517,0.172413793,0.034482759,0.068965517
roaddust LR,0.073529412,0.191176471,0.191176471,0.088235294,0.279411765,0.073529412,0.102941176
roaddust HR,0,0.2,0,0,0.6,0,0.2
roaddust MR,0,0.114285714,0.257142857,0.085714286,0.285714286,0.114285714,0.142857143
roaddust KR,0.441860465,0.104651163,0.151162791,0.034883721,0.151162791,0.058139535,0.058139535
roaddust NR,0.041121495,0.213084112,0.246728972,0.082242991,0.259813084,0.071028037,0.085981308
oldpdust LR,0.045454545,0.227272727,0.090909091,0.045454545,0.363636364,0.136363636,0.090909091
oldpdust HR,0,0.333333333,0,0.333333333,0.333333333,0,0
oldpdust KR,0.097826087,0.192546584,0.232919255,0.076086957,0.245341615,0.066770186,0.088509317
oldpdust MR,0,0,0,0.125,0.5,0,0.375
oldpdust NR,0.019230769,0.211538462,0.288461538,0.076923077,0.25,0.115384615,0.038461538
PSdust LR,0.060606061,0.166666667,0.181818182,0.090909091,0.363636364,0.090909091,0.045454545
PSdust HR,0,0,0.555555556,0.111111111,0.222222222,0,0.111111111
PSdust KR,0.13442623,0.183606557,0.242622951,0.06557377,0.239344262,0.052459016,0.081967213
PSdust MR,0.042553191,0.29787234,0.085106383,0.127659574,0.340425532,0.063829787,0.042553191
PSdust NR,0.059602649,0.198675497,0.238410596,0.07615894,0.228476821,0.089403974,0.109271523
MilkP LR,0.05,0.183333333,0.233333333,0.133333333,0.283333333,0.1,0.016666667
MilkP HR,0,0.333333333,0.166666667,0.083333333,0.333333333,0,0.083333333
MilkP KR,0.115234375,0.171875,0.232421875,0.07421875,0.25390625,0.06640625,0.0859375
MilkP MR,0.024390244,0.219512195,0.292682927,0.097560976,0.219512195,0.12195122,0.024390244
MilkP NR,0.019230769,0.278846154,0.192307692,0.048076923,0.230769231,0.067307692,0.163461538
MilkC LR,0.054054054,0.171171171,0.189189189,0.108108108,0.315315315,0.045045045,0.117117117
MilkC HR,0.028571429,0.4,0.114285714,0.057142857,0.171428571,0.171428571,0.057142857
MilkC KR,0.126984127,0.19047619,0.21957672,0.084656085,0.227513228,0.060846561,0.08994709
MilkC MR,0.04109589,0.109589041,0.301369863,0.068493151,0.328767123,0.068493151,0.082191781
MilkC NR,0.053030303,0.212121212,0.28030303,0.037878788,0.25,0.098484848,0.068181818
curd LR,0.103448276,0.172413793,0.24137931,0.068965517,0.24137931,0.137931034,0.034482759
curd KR,0.09516129,0.188709677,0.232258065,0.072580645,0.251612903,0.069354839,0.090322581
curd NR,0.014492754,0.231884058,0.231884058,0.130434783,0.260869565,0.043478261,0.086956522
curd MR,0.181818182,0.272727273,0,0,0.272727273,0.181818182,0.090909091
coffee LR,0.03,0.16,0.24,0.12,0.27,0.07,0.11
coffee HR,0.111111111,0.166666667,0.055555556,0.055555556,0.444444444,0.055555556,0.111111111
coffee MR,0.028985507,0.188405797,0.217391304,0.086956522,0.275362319,0.101449275,0.101449275
coffee KR,0.165467626,0.194244604,0.197841727,0.061151079,0.251798561,0.068345324,0.061151079
coffee NR,0.045454545,0.208333333,0.272727273,0.075757576,0.227272727,0.068181818,0.102272727
tea LR,0.030769231,0.123076923,0.246153846,0.076923077,0.307692308,0.123076923,0.092307692
tea HR,0.052631579,0.263157895,0.157894737,0.052631579,0.368421053,0,0.105263158
tea MR,0.076923077,0.169230769,0.215384615,0.092307692,0.323076923,0.076923077,0.046153846
tea KR,0.136627907,0.191860465,0.24127907,0.069767442,0.215116279,0.061046512,0.084302326
tea NR,0.042372881,0.216101695,0.216101695,0.084745763,0.262711864,0.076271186,0.101694915
beef LR,0.058139535,0.186046512,0.255813953,0.093023256,0.244186047,0.11627907,0.046511628
beef HR,0.166666667,0.083333333,0.25,0,0.166666667,0.083333333,0.25
beef KR,0.193133047,0.167381974,0.167381974,0.072961373,0.274678112,0.0472103,0.077253219
beef MR,0.014084507,0.169014085,0.225352113,0.126760563,0.253521127,0.098591549,0.112676056
beef NR,0.036697248,0.22324159,0.266055046,0.067278287,0.241590214,0.070336391,0.094801223
chicken LR,0.020979021,0.195804196,0.223776224,0.104895105,0.272727273,0.104895105,0.076923077
chicken HR,0,0.142857143,0.142857143,0.142857143,0.571428571,0,0
chicken KR,0.182509506,0.197718631,0.19391635,0.057034221,0.228136882,0.060836502,0.079847909
chicken MR,0.116666667,0.166666667,0.1,0.1,0.35,0.05,0.116666667
chicken NR,0.02734375,0.1953125,0.30078125,0.07421875,0.234375,0.0703125,0.09765625
mutton LR,0.076923077,0.153846154,0.217948718,0.08974359,0.358974359,0.025641026,0.076923077
mutton HR,0,0,0.333333333,0,0.666666667,0,0
mutton MR,0,0.148148148,0.185185185,0.111111111,0.296296296,0.148148148,0.111111111
mutton KR,0.138121547,0.196132597,0.220994475,0.060773481,0.226519337,0.071823204,0.085635359
mutton NR,0.034749035,0.208494208,0.247104247,0.092664093,0.247104247,0.077220077,0.092664093
egg LR,0.03030303,0.196969697,0.227272727,0.090909091,0.318181818,0.045454545,0.090909091
egg HR,0,0.277777778,0.222222222,0.111111111,0.166666667,0.166666667,0.055555556
egg MR,0.081081081,0.054054054,0.189189189,0.054054054,0.27027027,0.162162162,0.189189189
egg KR,0.115234375,0.19140625,0.228515625,0.0703125,0.2421875,0.064453125,0.087890625
egg NR,0.010416667,0.239583333,0.25,0.104166667,0.270833333,0.072916667,0.052083333
fishA LR,0.051282051,0.205128205,0.243589744,0.08974359,0.230769231,0.08974359,0.08974359
fishA HR,0.041666667,0.208333333,0.208333333,0.083333333,0.375,0.041666667,0.041666667
fishA KR,0.149171271,0.182320442,0.201657459,0.071823204,0.245856354,0.066298343,0.082872928
fishA MR,0.02173913,0.195652174,0.217391304,0.043478261,0.282608696,0.086956522,0.152173913
fishA NR,0.02283105,0.205479452,0.273972603,0.086757991,0.251141553,0.073059361,0.086757991
fishB LR,0,0.333333333,0,0.333333333,0,0,0.333333333
fishB KR,0.093704246,0.193265007,0.2284041,0.073206442,0.25329429,0.070278184,0.087847731
fishB NR,0.023809524,0.19047619,0.261904762,0.095238095,0.261904762,0.095238095,0.071428571
fishB MR,0,0,0,1,0,0,0
crab LR,0.0625,0.225,0.125,0.0875,0.2875,0.1125,0.1
crab HR,0,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111,0.222222222
crab KR,0.135693215,0.194690265,0.238938053,0.064896755,0.209439528,0.05899705,0.097345133
crab MR,0.022222222,0.177777778,0.222222222,0.066666667,0.377777778,0.088888889,0.044444444
crab NR,0.05078125,0.1875,0.25390625,0.0859375,0.27734375,0.0703125,0.07421875
prawns LR,0.086956522,0.260869565,0.173913043,0.130434783,0.304347826,0,0.043478261
prawns HR,0,0,0.333333333,0.333333333,0.333333333,0,0
prawns MR,0.125,0.25,0.375,0.125,0.125,0,0
prawns KR,0.100346021,0.19550173,0.219723183,0.070934256,0.238754325,0.077854671,0.096885813
prawns NR,0.034188034,0.170940171,0.273504274,0.085470085,0.316239316,0.05982906,0.05982906
shark LR,0.053435115,0.167938931,0.221374046,0.13740458,0.244274809,0.122137405,0.053435115
shark HR,0.0625,0.1875,0.3125,0,0.375,0.0625,0
shark MR,0.078947368,0.184210526,0.289473684,0.039473684,0.302631579,0.052631579,0.052631579
shark KR,0.367924528,0.122641509,0.188679245,0.037735849,0.169811321,0.028301887,0.08490566
shark NR,0.03,0.2225,0.2275,0.0775,0.2625,0.07,0.11
avaraikai LR,0.016129032,0.161290323,0.177419355,0.080645161,0.338709677,0.129032258,0.096774194
avaraikai HR,0,0.5,0,0,0.166666667,0.333333333,0
avaraikai KR,0.135501355,0.219512195,0.214092141,0.075880759,0.230352304,0.051490515,0.073170732
avaraikai MR,0,0.121212121,0.242424242,0.090909091,0.363636364,0.060606061,0.121212121
avaraikai NR,0.054054054,0.166023166,0.266409266,0.077220077,0.250965251,0.081081081,0.104247104
banana LR,0.049689441,0.167701863,0.248447205,0.105590062,0.236024845,0.074534161,0.118012422
banana HR,0,0.2,0.333333333,0.133333333,0.2,0.133333333,0
banana KR,0.222772277,0.202970297,0.133663366,0.059405941,0.247524752,0.064356436,0.069306931
